Process,DBN,School Name,Program Code,Program Name,Admissions Method for Students Entering in Fall 2020,Diversity In Admissions Priority for Students Entering in Fall 2020,Selection Criteria for Students Entering in Fall 2020
HS,03M299,The Maxine Greene HS for Imaginative Inquiry,M11R,The Maxine Greene High School for Imaginative Inquiry,Ed. Opt.,,
HS,03M307,"Urban Assembly School for Media Studies, The",M22X,The Urban Assembly School for Media Studies,Ed. Opt.,,"Attendance; Punctuality; Standardized Test Scores: English Language Arts, Math"
ES,03M333,P.S. 333 Manhattan School for Children,03M333KG,Kindergarten,Non-Zoned,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,
MS,03M333,P.S. 333 Manhattan School for Children,M333S,The Manhattan School For Children,Screened,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,03M334,The Anderson School,03M334GTC,Citywide  Gifted & Talented,Citywide G&T,"Priority to applicants who live in northern Manhattan and the south Bronx, for 30% of kindergarten seats. Specifically, this priority is for applicants who live in District 4, 5, 7, 8, 9, or 12, as well as for applicants who live north of 96th Street in District 3 or south of 178th Street in District 6.",
MS,03M334,The Anderson School,M334M,The Anderson School P.S. 334 Middle School,Screened,"Priority to applicants who live in northern Manhattan and the south Bronx, for 30% of kindergarten seats. Specifically, this priority is for applicants who live in District 4, 5, 7, 8, 9, or 12, as well as for applicants who live north of 96th Street in District 3 or south of 178th Street in District 6.",4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,03M402,The Urban Assembly School for Green Careers,A13A,The Urban Assembly School for Green Careers,Ed. Opt.,,
HS,03M403,The Global Learning Collaborative,A17A,The Global Learning Collaborative,Ed. Opt.,,"Attendance; Course Grades: Average; Standardized Test Scores: English Language Arts, Math"
HS,03M415,Wadleigh Secondary School for the Performing & Visual Arts,M26A,Theater Arts,Audition,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,Attendance; Audition; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts
HS,03M415,Wadleigh Secondary School for the Performing & Visual Arts,M26D,Dance,Audition,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,Attendance; Audition; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts
HS,03M415,Wadleigh Secondary School for the Performing & Visual Arts,M26J,Visual Arts,Audition,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,Attendance; Audition; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts
HS,03M415,Wadleigh Secondary School for the Performing & Visual Arts,M26M,Instrumental Music,Audition,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,"Attendance; Audition; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,03M415,Wadleigh Secondary School for the Performing & Visual Arts,M26R,Vocal Music,Audition,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,"Attendance; Audition; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,03M415,Wadleigh Secondary School for the Performing & Visual Arts,M26W,Wadleigh Honors Academy for New Students,Ed. Opt.,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,
MS,03M415,Wadleigh Secondary School for the Performing & Visual Arts,M415S,Wadleigh Secondary School For the Performing & Visual Arts,Screened,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,On-Site Assessment
HS,03M417,Frank McCourt High School,A21A,Frank McCourt High School,Screened,,Attendance; Course Grades: Average; Online Written Task; Standardized Test Scores: Average
MS,03M421,West Prep Academy,M421U,West Prep Academy (M.S. 421),Open,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,
ES,03M452,P.S. 452,03M452KG,Kindergarten,Zoned,Priority to applicants eligible for free or reduced price lunch (based on family income) after all zoned students are admitted,
HS,03M479,Beacon High School,M71A,The Beacon School,Screened,,Course Grades: Average; Portfolio of Student Work; Standardized Test Scores: Average
HS,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,M80J,Fine and Visual Art,Audition,,Academic information will be considered for students who successfully auditioned; Attendance and Punctuality; Audition; Course Grades: English; Standardized Test Scores: English Language Arts; Written Response (On-Site)
HS,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,M80K,Dance,Audition,,Academic information will be considered for students who successfully auditioned; Attendance and Punctuality; Audition; Course Grades: English; Standardized Test Scores: English Language Arts; Written Response (On-Site)
ES,04M155,P.S. 155 William Paca,04M155KG,Kindergarten,Zoned,,
ES,04M155,P.S. 155 William Paca,04M155SP,Spanish Dual Language,Zoned,,
HS,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,M80L,Instrumental Music,Audition,,Academic information will be considered for students who successfully auditioned; Attendance and Punctuality; Audition; Course Grades: English; Standardized Test Scores: English Language Arts; Written Response (On-Site)
HS,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,M80M,Vocal Music,Audition,,Academic information will be considered for students who successfully auditioned; Attendance and Punctuality; Audition; Course Grades: English; Standardized Test Scores: English Language Arts; Written Response (On-Site)
HS,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,M80N,Drama,Audition,,Academic information will be considered for students who successfully auditioned; Attendance and Punctuality; Audition; Course Grades: English; Standardized Test Scores: English Language Arts; Written Response (On-Site)
HS,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,M80P,Technical Theater,Audition,,Academic information will be considered for students who successfully auditioned; Attendance and Punctuality; Audition; Course Grades: English; Standardized Test Scores: English Language Arts; Written Response (On-Site)
HS,03M492,"High School for Law, Advocacy and Community Justice",M14A,"Law, Advocacy and Community Justice High School",Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,03M494,High School of Arts and Technology,M12A,Arts & Technology,Ed. Opt.,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: Average
HS,03M494,High School of Arts and Technology,M12B,Digital Media,Ed. Opt.,,"Attendance; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,03M541,Manhattan / Hunter Science High School,M55A,Manhattan/Hunter Science High School,Screened,Priority to applicants eligible for free or reduced price lunch for 69% of seats,Attendance; Course Grades: English; Essay (online); Punctuality; Standardized Test Scores: English Language Arts
ES,03M859,Special Music School,03M859KG,Kindergarten,Non-Zoned,,
HS,03M859,Special Music School,A85A,"Voice, Instrument, and Composition",Audition,,Attendance; Audition; Course Grades: Average; Punctuality
MS,03M859,Special Music School,M859M,Special Music School,Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,03M860,Frederick Douglass Academy II Secondary School,M39A,The Douglass STEM Institute,Ed. Opt.,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,Course Grades: Average; Group Interview (On-Site); Standardized Test Scores: Average; Writing Exercise (On-Site)
MS,03M860,Frederick Douglass Academy II Secondary School,M860S,Frederick Douglass Academy II Secondary School,Screened,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
MS,03M862,Mott Hall II,M862M,Mott Hall II,Screened,Priority to students who qualify for free or reduced price lunch (FRL) 25% of seats,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
ES,04M007,P.S. 007 Samuel Stern,04M007KG,Kindergarten,Zoned,,
MS,04M007,P.S. 007 Samuel Stern,M007S,Samuel Stern (P.S./M.S. 7),Screened,,Attendance
ES,04M012,Tag Young Scholars,04M012GTC,Citywide  Gifted & Talented,Citywide G&T,Priority to applicants eligible for free or reduced price lunch (based on family income) for 40% of Kindergarten seats,
MS,04M012,Tag Young Scholars,M012M,Talented and Gifted School for Young Scholars,Screened,Priority to applicants eligible for free or reduced price lunch (based on family income) for 40% of Kindergarten seats,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
ES,04M037,River East Elementary,04M037KG,Kindergarten,Non-Zoned,,
ES,04M038,P.S. 38 Roberto Clemente,04M038KG,Kindergarten,Zoned,,
ES,04M057,James Weldon Johnson,04M057KG,Kindergarten,Zoned,,
ES,04M057,James Weldon Johnson,04M057SP,Spanish Dual Language,Zoned,,
MS,04M057,James Weldon Johnson,M057S,James Weldon Johnson Leadership Academy,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; ELL Status; Final 4th Grade Report Card; Home Language; Lateness
ES,04M072,The Lexington Academy,04M072KG,Kindergarten,Zoned,,
ES,04M072,The Lexington Academy,04M072SP,Spanish Dual Language,Zoned,,
MS,04M072,The Lexington Academy,M072L,The Lexington Academy,Limited Unscreened,,
ES,04M083,P.S. 083 Luis Munoz Rivera,04M083KG,Kindergarten,Zoned,,
ES,04M096,P.S. 096 Joseph Lanzetta,04M096KG,Kindergarten,Zoned,,
ES,04M096,P.S. 096 Joseph Lanzetta,04M096SP,Spanish Dual Language,Zoned,,
MS,04M096,P.S. 096 Joseph Lanzetta,M096M,Joseph Lanzetta School (P.S./M.S. 96) Spanish Dual Language Program,Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card
MS,04M096,P.S. 096 Joseph Lanzetta,M096S,Joseph Lanzetta School (P.S./M.S. 96),Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card
ES,04M102,P.S. 102 Jacques Cartier,04M102GTD,District Gifted & Talented,District G&T,,
ES,04M102,P.S. 102 Jacques Cartier,04M102KG,Kindergarten,Zoned,,
ES,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108KG,Kindergarten,Zoned,,
MS,04M171,P.S. 171 Patrick Henry,M171S,Patrick Henry Preparatory School (P.S./I.S. 171),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,04M182,The Bilingual Bicultural School,04M182KG,Kindergarten,Non-Zoned,,
ES,04M182,The Bilingual Bicultural School,04M182SP,Spanish Dual Language,Non-Zoned,,
MS,04M206,P.S. 206 Jose Celso Barbosa,M206L,Jose Celso Barbosa Academy for Social Justice (P.S./M.S. 206),Limited Unscreened,,
MS,04M224,M.S. 224 Manhattan East School for Arts & Academics,M224M,Manhattan East School for Arts & Academics (M.S. 224),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,04M372,Esperanza Preparatory Academy,A37A,Esperanza Preparatory Academy,Screened: Language,,
MS,04M372,Esperanza Preparatory Academy,M372L,Esperanza Preparatory Academy,Limited Unscreened,,
MS,04M372,Esperanza Preparatory Academy,M372M,Spanish Dual Language Program,Screened: Language,,4th Grade New York State ELA and Math Exams; Attendance; ELL Status; Final 4th Grade Report Card; Home Language; Lateness
ES,04M375,Mosaic Preparatory Academy,04M375KG,Kindergarten,Zoned,,
MS,04M377,Renaissance School of the Arts,M377L,Renaissance School of The Arts,Limited Unscreened,,
HS,04M435,Manhattan Center for Science and Mathematics,M16J,Science & Mathematics Research,Screened,,Attendance; Course Grades: English; Punctuality; Standardized Test Scores: English Language Arts
HS,04M435,Manhattan Center for Science and Mathematics,M16K,Bilingual Spanish Science & Mathematics,Screened: Language & Academics,,Attendance; Course Grades: English; Punctuality; Standardized Test Scores: English Language Arts
HS,04M495,Park East High School,M17J,Park East High School,Screened,Priority to applicants eligible for free or reduced price lunch for 66% of seats,Attendance; Course Grades: English; Demonstrated Interest: School Visit; Punctuality; Standardized Test Scores: English Language Arts
ES,04M497,Central Park East I,04M497KG,Kindergarten,Non-Zoned,,
HS,04M555,Central Park East High School,M86A,Central Park East,Screened,Priority to applicants eligible for free or reduced price lunch for 75% of seats,Attendance; Course Grades: English; Honors/Accelerated Coursework; Punctuality; Standardized Test Scores: English Language Arts
MS,04M610,Young Women's Leadership School,M610M,Young Women's Leadership School,Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,04M610,Young Women's Leadership School,M96A,Young Women's Leadership School,Screened,,Course Grades: Average; Group Interview (On-Site); Initial Filter: GPA of 80 or higher and 90% attendance; Standardized Test Scores: Average; Writing Exercise (On-Site)
HS,04M680,"Heritage School, The",M97A,The Heritage School,Ed. Opt.,Priority to district 4 residents eligible for free or reduced price lunch for 43% of seats,Attendance; Geographic Proximity
MS,04M825,Isaac Newton Middle School for Math & Science,M825S,Isaac Newton Middle School For Math And Science (M.S. 825),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,04M964,Central Park East II,04M964KG,Kindergarten,Non-Zoned,,
MS,04M964,Central Park East II,M964U,Central Park East II,Open,,
ES,05M030,P.S. 030 Hernandez/Hughes,05M030KG,Kindergarten,Zoned,,
ES,05M036,P.S. 036 Margaret Douglas,05M036KG,Kindergarten,Zoned,,
ES,05M046,P.S. 046 Arthur Tappan,05M046KG,Kindergarten,Zoned,,
MS,05M046,P.S. 046 Arthur Tappan,M046L,P.S./M.S. 46 - The Arthur Tappan School,Limited Unscreened,,
ES,05M092,P.S. 092 Mary McLeod Bethune,05M092KG,Kindergarten,Zoned,,
ES,05M123,P.S. 123 Mahalia Jackson,05M123KG,Kindergarten,Zoned,,
MS,05M123,P.S. 123 Mahalia Jackson,M123L,Mahalia Jackson (P.S./M.S. 123),Limited Unscreened,,
ES,05M125,P.S. 125 Ralph Bunche,05M125KG,Kindergarten,Zoned,Priority to applicants eligible for free or reduced price lunch (based on family income) and/or who are English Language Learners for 60% of seats,
ES,05M129,P.S. 129 John H. Finley,05M129GTD,District Gifted & Talented,District G&T,,
ES,05M129,P.S. 129 John H. Finley,05M129KG,Kindergarten,Zoned,,
ES,05M129,P.S. 129 John H. Finley,05M129SP,Spanish Dual Language,Zoned,,
ES,05M133,P.S. 133 Fred R Moore,05M133KG,Kindergarten,Zoned,,
MS,05M148,Eagle Academy for Young Men of Harlem,M148L,Eagle Academy for Young Men of Harlem,Limited Unscreened,,
HS,05M148,Eagle Academy for Young Men of Harlem,Y41A,Eagle Academy for Young Men of Harlem,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math; Writing Exercise (On-Site)"
ES,05M154,P.S. 154 Harriet Tubman,05M154KG,Kindergarten,Zoned,,
HS,05M157,The Urban Assembly School for Global Commerce,M48A,The Urban Assembly School for Global Commerce,Ed. Opt.,,
ES,05M161,P.S. 161 Pedro Albizu Campos,05M161KG,Kindergarten,Zoned,,
ES,05M161,P.S. 161 Pedro Albizu Campos,05M161SP,Spanish Dual Language,Zoned,,
MS,05M161,P.S. 161 Pedro Albizu Campos,M161L,Pedro Albizu Campos (P.S./M.S. 161),Limited Unscreened,,
ES,05M194,P.S. 194 Countee Cullen,05M194KG,Kindergarten,Zoned,,
ES,05M197,P.S. 197 John B. Russwurm,05M197KG,Kindergarten,Zoned,,
ES,05M200,P.S. 200- The James McCune Smith School,05M200KG,Kindergarten,Zoned,,
ES,05M200,P.S. 200- The James McCune Smith School,05M200SP,Spanish Dual Language,Zoned,,
MS,05M286,Urban Assembly Academy for Future Leaders,M286L,Urban Assembly Academy for Future Leaders (I.S. 286),Limited Unscreened,,
HS,05M304,Mott Hall High School,M49X,Mott Hall High School,Open,,
ES,05M318,Thurgood Marshall Academy Lower School,05M318KG,Kindergarten,Non-Zoned,,
HS,05M362,Columbia Secondary School,A15A,Columbia Secondary School,Screened,,Attendance; Course Grades: Average; Individual Interview (On-Site); Punctuality; Standardized Test Scores: Average
MS,05M362,Columbia Secondary School,M362M,"Columbia Secondary School for Math, Science and Engineering",Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,05M369,Urban Assembly School for the Performing Arts,M04A,Urban Assembly School for the Performing Arts,Ed. Opt.,,We do not rank students for this program; all students will be selected randomly.
MS,05M371,M.S. 371,M371U,M.S. 371,Open,,
MS,05M499,Frederick Douglass Academy,M499S,Frederick Douglass Academy,Screened,,"4th Grade New York State ELA and Math Exams; Attendance; Attendance at an Information Session, Open House or School Tour; Final 4th Grade Report Card; Punctuality"
HS,05M499,Frederick Douglass Academy,M75A,Frederick Douglass Academy for the Humanities (FDAH),Screened,,Attendance; Course Grades: English; Individual Interview (On-Site); Punctuality; Standardized Test Scores: English Language Arts
HS,05M499,Frederick Douglass Academy,M75B,"Science, Technology, Engineering, and Mathematics (STEM)",Screened,,Attendance; Course Grades: English; Individual Interview (On-Site); Punctuality; Standardized Test Scores: English Language Arts
HS,05M499,Frederick Douglass Academy,M75C,Frederick Douglass Academy for New Arrivals,Screened: Language,,
MS,05M514,New Design Middle School,M514L,New Design Middle School,Limited Unscreened,,
ES,05M517,Teachers College Community School,05M517KG,Kindergarten,Non-Zoned,,
MS,05M517,Teachers College Community School,M517U,Teachers College Community School,Open,,
HS,05M670,Thurgood Marshall Academy for Learning and Social Change,M47A,Social Change and Community Service,Screened,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts
MS,05M670,Thurgood Marshall Academy for Learning and Social Change,M670M,Thurgood Marshall Academy for Learning and Social Change,Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card; Lateness
HS,05M692,"High School for Mathematics, Science and Engineering at City College",M00S,"High School for Math, Science and Engineering at City College (HSMSE)",Test,,
ES,06M004,P.S. 004 Duke Ellington,06M004KG,Kindergarten,Zoned,,
ES,06M004,P.S. 004 Duke Ellington,06M004SP,Spanish Dual Language,Zoned,,
ES,06M005,P.S. 005 Ellen Lurie,06M005KG,Kindergarten,Zoned,,
ES,06M005,P.S. 005 Ellen Lurie,06M005SP,Spanish Dual Language,Zoned,,
ES,06M008,P.S. 008 Luis Belliard,06M008KG,Kindergarten,Zoned,,
ES,06M008,P.S. 008 Luis Belliard,06M008SP,Spanish Dual Language,Zoned,,
ES,06M018,P.S. 018 Park Terrace,06M018KG,Kindergarten,Zoned,,
MS,06M018,P.S. 018 Park Terrace,M018U,Park Terrace (P.S. 18),Open,,
ES,06M028,P.S. 028 Wright Brothers,06M028KG,Kindergarten,Zoned,,
ES,06M028,P.S. 028 Wright Brothers,06M028SP,Spanish Dual Language,Zoned,,
ES,06M048,P.S. 048 P.O. Michael J. Buczek,06M048KG,Kindergarten,Zoned,,
ES,06M048,P.S. 048 P.O. Michael J. Buczek,06M048SP,Spanish Dual Language,Zoned,,
MS,06M052,Harold O. Levy School,M052U,Harold O. Levy School 52 Apple ConnectED Program,Open,,
MS,06M052,Harold O. Levy School,M052Z,Harold O. Levy School 52 Zoned Program,Zoned,,
ES,06M098,P.S. 098 Shorac Kappock,06M098KG,Kindergarten,Zoned,,
ES,06M098,P.S. 098 Shorac Kappock,06M098SP,Spanish Dual Language,Zoned,,
ES,06M103,Dos Puentes Elementary School,06M103KG,Kindergarten,Zoned,,
ES,06M103,Dos Puentes Elementary School,06M103SP,Spanish Dual Language,Zoned,,
ES,06M115,P.S. 115 Alexander Humboldt,06M115KG,Kindergarten,Zoned,,
ES,06M128,P.S. 128 Audubon,06M128KG,Kindergarten,Zoned,,
ES,06M128,P.S. 128 Audubon,06M128SP,Spanish Dual Language,Zoned,,
ES,06M132,P.S. 132 Juan Pablo Duarte,06M132KG,Kindergarten,Zoned,,
ES,06M132,P.S. 132 Juan Pablo Duarte,06M132SP,Spanish Dual Language,Zoned,,
MS,06M143,J.H.S. 143 Eleanor Roosevelt,M143U,Eleanor Roosevelt Intermediate School (I.S. 143),Open,,
ES,06M152,P.S. 152 Dyckman Valley,06M152KG,Kindergarten,Zoned,,
ES,06M153,P.S. 153 Adam Clayton Powell,06M153GTD,District Gifted & Talented,District G&T,,
ES,06M153,P.S. 153 Adam Clayton Powell,06M153KG,Kindergarten,Zoned,,
ES,06M153,P.S. 153 Adam Clayton Powell,06M153SP,Spanish Dual Language,Zoned,,
ES,06M173,P.S. 173,06M173KG,Kindergarten,Zoned,,
ES,06M178,Professor Juan Bosch Public School,06M178KG,Kindergarten,Non-Zoned,,
ES,06M178,Professor Juan Bosch Public School,06M178SP,Spanish Dual Language,Non-Zoned,,
ES,06M187,P.S./I.S. 187 Hudson Cliffs,06M187KG,Kindergarten,Zoned,,
MS,06M187,P.S./I.S. 187 Hudson Cliffs,M187U,Hudson Cliffs School (P.S./I.S. 187),Open,,
ES,06M189,P.S. 189,06M189KG,Kindergarten,Zoned,,
ES,06M192,P.S. 192 Jacob H. Schiff,06M192KG,Kindergarten,Zoned,,
MS,06M209,Hamilton Grange Middle School,M209L,Hamilton Grange Middle School,Limited Unscreened,,
MS,06M209,Hamilton Grange Middle School,M209S,Spanish Dual Language Program,Screened: Language,,ELL Status; Home Language; On-Site Assessment
ES,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,06M210KG,Kindergarten,Non-Zoned,,
ES,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,06M210SP,Spanish Dual Language,Non-Zoned,,
MS,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,M210M,Spanish Dual Language Program,Screened: Language,,On-Site Assessment
HS,06M211,Inwood Early College for Health and Information Technologies,A16A,Inwood Early College for Health & Information Technologies,Ed. Opt.,,
MS,06M223,The Mott Hall School,M223S,The Mott Hall School,Screened,,"4th Grade New York State ELA and Math Exams; Attendance; Attendance at an Information Session, Open House or School Tour; Entrance Assessment; Final 4th Grade Report Card"
ES,06M278,Paula Hedbavny School,06M278KG,Kindergarten,Zoned,,
MS,06M278,Paula Hedbavny School,M278S,Paula Hedbavny School (P.S./M.S. 278),Screened,,Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
HS,06M293,City College Academy of the Arts,M06A,City College Academy of the Arts,Screened,,Attendance; Course Grades: English; Punctuality; Standardized Test Scores: English Language Arts
MS,06M293,City College Academy of the Arts,M293L,City College Academy Of The Arts,Limited Unscreened,,
ES,06M311,Amistad Dual Language School,06M311SP,Spanish Dual Language,Non-Zoned,,
MS,06M311,Amistad Dual Language School,M311M,Amistad Spanish Dual Language Program,Screened: Language,,On-Site Assessment
ES,06M314,Muscota,06M314KG,Kindergarten,Non-Zoned,Priority to applicants eligible for free or reduced price lunch (based on family income) and/or living in temporary housing for 30% of seats,
MS,06M319,M.S. 319 - Maria Teresa,M319M,Spanish Dual Language Program,Screened: Language,,Academic and Personal Behavior Scores; Attendance; ELL Status; Home Language; Lateness
MS,06M319,M.S. 319 - Maria Teresa,M319U,Maria Teresa Mirabal (M.S. 319),Open,,
MS,06M322,Middle School 322,M322M,Spanish Dual Language Program,Screened: Language,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; ELL Status; Home Language; Lateness
MS,06M322,Middle School 322,M322U,The Renaissance Leadership Academy (M.S. 322),Open,,
MS,06M324,M.S. 324 - Patria Mirabal,M324U,Making Connections to Local and Global Communities,Open,,
MS,06M328,Community Math & Science Prep,M328M,Spanish Dual Language Program,Screened: Language,,ELL Status; Home Language
MS,06M328,Community Math & Science Prep,M328U,Community Math & Science Prep,Open,,
HS,06M346,Community Health Academy of the Heights,M07A,Community Health Academy of the Heights,Ed. Opt.,,
MS,06M346,Community Health Academy of the Heights,M346U,Community Health Academy of the Heights,Open,,
ES,06M348,Washington Heights Expeditionary Learning School,06M348KG,Kindergarten,Non-Zoned,Priority to applicants eligible for free or reduced price lunch (based on family income) and/or in temporary housing for 75% of seats,
ES,06M348,Washington Heights Expeditionary Learning School,06M348SP,Spanish Dual Language,Non-Zoned,Priority to applicants eligible for free or reduced price lunch (based on family income) and/or in temporary housing for 75% of seats,
MS,06M348,Washington Heights Expeditionary Learning School,M348U,Washington Heights Expeditionary Learning School,Open,Priority to applicants eligible for free or reduced price lunch (based on family income) and/or in temporary housing for 75% of seats,
HS,06M348,Washington Heights Expeditionary Learning School,M88A,Washington Heights Expeditionary Learning School,Ed. Opt.,Priority to applicants eligible for free or reduced price lunch (based on family income) and/or in temporary housing for 75% of seats,"Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts, Math"
MS,06M349,Harbor Heights,M349M,Harbor Heights Transitional Bilingual Education Program (Spanish),Screened: Language,,ELL Status; Home Language
ES,06M366,Washington Heights Academy,06M366KG,Kindergarten,Non-Zoned,,
MS,06M366,Washington Heights Academy,M366L,Washington Heights Academy,Limited Unscreened,,
ES,06M368,Hamilton Heights School,06M368KG,Kindergarten,Non-Zoned,,
HS,06M423,High School for Excellence and Innovation,A24A,High School for Excellence and Innovation,Transfer,,
HS,06M462,The College Academy,M32A,College Access for All,Ed. Opt.,,"Attendance; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,06M462,The College Academy,M32B,Dual Language Spanish,Screened: Language,,
HS,06M463,High School for Media and Communications,M30A,Media & Communications,Ed. Opt.,,
HS,06M467,High School for Law and Public Service,M31A,Law and Public Service,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Geographic Priority; Passing of classes; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,06M467,High School for Law and Public Service,M31B,Dual Language Spanish,Screened: Language,,
HS,06M468,High School for Health Careers and Sciences,M33A,Health Careers & Sciences,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Standardized Test Scores: English Language Arts, Math"
ES,06M513,Castle Bridge School,06M513SP,Spanish Dual Language,Non-Zoned,Priority to applicants whose family has been impacted by incarceration for 10% of seats. Priority also to applicants eligible for free or reduced price lunch (based on family income) for 60% of seats,
MS,06M528,I.S. 528 Bea Fuller Rodgers School,M528U,Bea Fuller Rodgers School,Open,,
HS,06M540,A. Philip Randolph Campus High School,M19B,Academic Professions,Ed. Opt.,,
HS,06M540,A. Philip Randolph Campus High School,M19C,The Academy of the Humanities,Screened,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts
HS,06M540,A. Philip Randolph Campus High School,M19J,The Academy of Engineering,Screened,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts
HS,06M540,A. Philip Randolph Campus High School,M19K,The Academy of Medicine,Screened,,Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts
HS,06M540,A. Philip Randolph Campus High School,M19L,Dual Language Spanish Program,Screened: Language,,
HS,06M552,Gregorio Luperon High School for Science and Mathematics,M62A,Bilingual Spanish Science & Mathematics,Screened: Language & Academics,,Attendance; Course Grades: Math; Punctuality; Standardized Test Scores: English Language Arts; Test (On-Site); Years In The Country
HS,06M552,Gregorio Luperon High School for Science and Mathematics,M62B,Dual Language Spanish,Screened: Language,,
ES,07X001,P.S. 001 Courtlandt School,07X001KG,Kindergarten,Non-Zoned,,
ES,07X005,P.S. 5 Port Morris,07X005KG,Kindergarten,Non-Zoned,,
ES,07X005,P.S. 5 Port Morris,07X005SP,Spanish Dual Language,Non-Zoned,,
MS,07X005,P.S. 5 Port Morris,X005U,The Port Morris School of Community Leadership (P.S./M.S. 5),Open,,
ES,07X018,P.S. 018 John Peter Zenger,07X018KG,Kindergarten,Non-Zoned,,
ES,07X018,P.S. 018 John Peter Zenger,07X018SP,Spanish Dual Language,Non-Zoned,,
ES,07X025,P.S. 025 Bilingual School,07X025KG,Kindergarten,Non-Zoned,,
ES,07X025,P.S. 025 Bilingual School,07X025SP,Spanish Dual Language,Non-Zoned,,
ES,07X029,P.S./M.S. 029 Melrose School,07X029KG,Kindergarten,Non-Zoned,,
